aos_ui	Interface	aos ui	pillar	manual	Dashboard UI
door	THE DOOR	alphaos door	pillar	manual	Potential→Plan→Production→Profit
game	THE GAME	alphaos game	pillar	manual	Frame/Freedom/Focus/Fire + General's Tent
voice	THE VOICE	voice	pillar	manual	STOP→SUBMIT→STRUGGLE→STRIKE
code	THE CODE	code-pillar	pillar	manual	Real/Raw/Relevant/Results
core	THE CORE	core-pillar	pillar	manual	BODY/BEING/BALANCE/BUSINESS
hot	Hot Capture	hot	tool	manual	Create HOT file
hotlist	Hot List	hotlist	tool	manual	List HOT files
hotopen	Hot Open	hotopen	tool	manual	Open HOT file
document_with_gemini	Gemini Docs	document-with-gemini.py	python	dotfiles_bin	AI documentation with Gemini API
ticktick_sync	TickTick Sync	python-ticktick/ticktick_sync.py	python	aos-hub	Taskwarrior ↔ TickTick sync
alphaos_launcher	Python Launcher	alphaos-launcher	python	dotfiles_bin	Extended features (YAML/plugins)
router_bot	Router Bot	router_bot.py	python	dotfiles_bin	Telegram AlphaOS Router Bot
obsidian_tw_sync	Obsidian-TW Sync	obsidian_tw_sync.sh	python	dotfiles_bin	Obsidian ↔ Taskwarrior sync
generals	General's Tent	generals	tool	manual	Strategic review (THE GAME)
tent	General's Tent	tent	tool	manual	Alias for generals
aosctl	AOS Control	aosctl	infra	manual	Unified hub/router/bridge/vault control
aos_hub	AOS Hub	aosctl hub	infra	manual	Hub control (hubctl wrapper)
aos_router	AOS Router	aosctl router	infra	manual	Router control (routerctl wrapper)
aos_bridge	AOS Bridge	aosctl bridge	infra	manual	Bridge control (bridgectl wrapper)
aos_vault	AOS Vault	aosctl vault	infra	manual	Vault sync control
routerctl	Router Control	routerctl	infra	manual	Start/stop/logs router bot service
aos_sync	AOS Sync	aos-sync	infra	manual	Rclone sync management (menu/run/enable)
aos_syncctl	AOS SyncCtl	aos-syncctl	infra	manual	Sync control (systemd integration)
door_watcher	Door Watcher	door_file_watcher.sh	infra	dotfiles_bin	Watch DOOR files for changes
